Date,Open,High,Low,Close
9-April-2008,15512.70,15829.59,15464.72,15790.51,
10-April-2008,15754.87,15953.54,15655.20,15695.10,
11-April-2008,15840.56,15957.24,15673.67,15807.64,
15-April-2008,15694.41,16249.46,15573.03,16153.66,
16-April-2008,16288.76,16413.80,16198.56,16244.19,
17-April-2008,16456.04,16570.57,16397.17,16481.20,
21-April-2008,16611.41,16778.59,16611.41,16739.33,
22-April-2008,16686.55,16853.96,16597.53,16783.87,
23-April-2008,16823.99,16871.27,16589.45,16698.04,
24-April-2008,16796.26,16844.02,16668.60,16721.08,
25-April-2008,16781.97,17150.92,16781.97,17125.98,
28-April-2008,17251.56,17271.56,16978.89,17015.96,
29-April-2008,17050.87,17424.94,17011.60,17378.46,
30-April-2008,17479.01,17480.74,17241.88,17287.31,
2-May-2008,17560.15,17621.24,17445.93,17600.12,
5-May-2008,17687.00,17735.70,17457.27,17490.90,
6-May-2008,17441.41,17502.15,17237.68,17373.01,
7-May-2008,17404.15,17413.81,17229.98,17339.31,
8-May-2008,17212.61,17212.61,17038.03,17080.65,
9-May-2008,17020.79,17125.95,16678.94,16737.07,
12-May-2008,16641.45,16897.36,16546.55,16860.90,
13-May-2008,17008.03,17085.63,16697.47,16752.86,
14-May-2008,16691.30,17014.94,16626.35,16978.35,
15-May-2008,17084.89,17366.19,17079.94,17353.54,
16-May-2008,17476.41,17497.36,17315.52,17434.94,
20-May-2008,17366.05,17367.13,17136.26,17230.18,
21-May-2008,17065.61,17293.34,17041.63,17243.16,
22-May-2008,17104.59,17104.59,16863.38,16907.11,
23-May-2008,16958.80,17054.34,16626.11,16649.64,
